Problem,DRTechnique,M,D,N,avgOriginalND,avgReducedND,avgPercentageKept
,pca,10,20,500,30.3,10.5,34.5333523064358
,pca,20,30,500,28.2,2.8,10.2719146350725
,pca,50,60,500,27.1,2.6,9.88075071133542
,pca,10,20,500,197.6,9.9,5.033127845135
,pca,20,30,500,182,12.6,6.91920356406445
,pca,50,60,500,176.3,10.6,6.0235374012618
,pca,10,20,500,3.7,0.3,16.6666666666667
,pca,20,30,500,3.8,0,0
,pca,50,60,500,3.9,0,0
,lle,10,20,500,28.9,8,27.4929626532887
,lle,20,30,500,27.6,10.1,37.8719816699356
,lle,50,60,500,32.3,7.8,23.9338304537546
,lle,10,20,500,201.2,41.7,20.8346023409974
,lle,20,30,500,172.3,42.8,24.7753958877513
,lle,50,60,500,181.2,41,22.6996965826938
,lle,10,20,500,4,0,0
,lle,20,30,500,3.1,0,0
,lle,50,60,500,4.1,0,0
,isomap,10,20,500,29.5,7.8,29.1887279387279
,isomap,20,30,500,27.9,10.2,36.6629963603648
,isomap,50,60,500,27.2,9,30.7872527192303
,isomap,10,20,500,196.5,115.9,59.1412001190053
,isomap,20,30,500,182,102,56.2630497365967
,isomap,50,60,500,176.9,128.7,72.721562993277
,isomap,10,20,500,4.6,0,0
,isomap,20,30,500,6,0,0
,isomap,50,60,500,3.9,0,0
